room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
32865,142416,Private room,Centro,Sol,0,,1,1.0,71.0,1,40.415223,-3.706614,2014-08-29 23:00:58.888
18628,71597,Entire home/apt,Centro,Justicia,22,4.5,2,0.0,72.0,15,40.424715,-3.698638,2014-08-30 00:43:22.479
18730,71885,Entire home/apt,Centro,Cortes,40,4.5,10,3.0,237.0,2,40.414481,-3.701094,2014-08-29 21:42:37.119
19864,74966,Entire home/apt,Centro,Palacio,13,5.0,2,1.0,88.0,14,40.414879,-3.708782,2014-08-29 23:58:01.145
21512,82175,Entire home/apt,Moncloa,Argüelles,6,4.0,2,1.0,74.0,1,40.42492,-3.713446,2014-08-29 20:48:51.051
23021,82175,Entire home/apt,Moncloa,Argüelles,13,4.0,10,4.0,133.0,2,40.423417,-3.712456,2014-08-30 01:27:01.099
24805,101471,Entire home/apt,Centro,Universidad,0,,3,1.0,103.0,5,40.422022,-3.703954,2014-08-30 01:18:51.155
24836,101653,Private room,Centro,Justicia,12,5.0,4,1.0,147.0,3,40.419989,-3.697614,2014-08-29 20:44:14.825
25739,107942,Private room,Centro,Palacio,0,,1,1.0,88.0,1,40.409857,-3.712244,2014-08-29 23:44:41.414
26571,112866,Private room,Fuencarral,Fuentelareina,0,,3,1.0,66.0,3,40.476741,-3.739613,2014-08-30 00:50:57.717
26816,114340,Entire home/apt,Arganzuela,Legazpi,6,4.5,3,2.0,184.0,3,40.391665,-3.688685,2014-08-30 00:38:53.712
26823,114340,Private room,Arganzuela,Legazpi,7,4.0,2,1.0,59.0,2,40.391161,-3.688234,2014-08-30 00:46:38.967
26825,114340,Private room,Arganzuela,Legazpi,22,4.5,1,1.0,29.0,2,40.389877,-3.688883,2014-08-30 00:49:22.204
30320,130907,Entire home/apt,Centro,Sol,60,4.5,2,1.0,84.0,1,40.415525,-3.703459,2014-08-29 23:16:56.281
30354,7538904,Private room,Salamanca,Guindalera,2,5.0,1,1.0,37.0,5,40.437893,-3.666563,2014-08-29 23:51:43.190
30512,131597,Private room,Salamanca,Goya,0,,1,1.0,72.0,1,40.427156,-3.672962,2014-08-29 21:53:14.558
30711,132184,Private room,Arganzuela,Palos de Moguer,0,,1,1.0,220.0,2,40.402986,-3.691816,2014-08-30 01:39:35.447
30924,132736,Private room,San Blas,Rejas,50,5.0,2,1.0,52.0,1,40.445084,-3.591501,2014-08-30 00:51:49.225
31210,133995,Private room,Latina,Campamento,0,,2,1.0,88.0,1,40.395048,-3.774121,2014-08-30 01:24:20.335
31480,135161,Private room,Salamanca,Fuente del Berro,0,,1,1.0,72.0,1,40.424861,-3.665719,2014-08-30 01:40:46.383
32134,138713,Private room,Puente de Vallecas,San Diego,0,,3,1.0,428.0,1,40.387907,-3.664689,2014-08-29 23:38:43.459
33029,143120,Private room,Tetuan,Almenara,0,,1,1.0,56.0,1,40.467806,-3.695708,2014-08-29 20:46:00.840
34801,84759,Private room,Tetuan,Bellas Vistas,4,4.0,4,1.0,44.0,1,40.45253,-3.707486,2014-08-30 01:32:27.108
35146,141962,Entire home/apt,Chamberi,Trafalgar,8,5.0,5,2.0,162.0,3,40.434378,-3.700976,2014-08-29 22:38:35.832
38547,165406,Entire home/apt,Centro,Justicia,74,4.5,5,2.0,103.0,2,40.42316,-3.698763,2014-08-29 23:52:42.246
36396,156392,Private room,Centro,Embajadores,3,4.5,5,1.0,96.0,2,40.411823,-3.706797,2014-08-29 21:46:28.273
36583,157422,Private room,Salamanca,Lista,0,,1,1.0,212.0,1,40.429677,-3.670971,2014-08-30 01:20:57.920
37679,162195,Private room,Villa de Vallecas,Casco Histórico de Vallecas,0,,2,1.0,83.0,1,40.363467,-3.589887,2014-08-29 21:51:42.408
37716,162299,Private room,Centro,Embajadores,0,,1,1.0,176.0,1,40.408207,-3.702462,2014-08-29 22:47:29.271
38970,167219,Entire home/apt,Chamberi,Almagro,3,5.0,8,4.0,162.0,5,40.438081,-3.695619,2014-08-29 22:08:22.397
40718,175752,Entire home/apt,Centro,Justicia,32,4.5,3,1.0,77.0,3,40.419778,-3.697299,2014-08-29 20:56:14.882
40916,130907,Entire home/apt,Centro,Universidad,12,5.0,3,1.0,125.0,1,40.420961,-3.70428,2014-08-30 01:00:20.655
42526,185715,Entire home/apt,Centro,Universidad,19,5.0,6,3.0,258.0,3,40.426124,-3.70673,2014-08-29 21:24:05.273
42724,84759,Private room,Tetuan,Bellas Vistas,18,4.5,2,1.0,41.0,1,40.450228,-3.70753,2014-08-30 01:18:29.713
45187,199193,Entire home/apt,Tetuan,Valdeacederas,0,,3,2.0,66.0,2,40.465829,-3.704611,2014-08-29 23:35:50.076
45807,82175,Entire home/apt,Arganzuela,Acacias,3,5.0,4,1.0,88.0,1,40.400826,-3.707061,2014-08-30 01:29:57.146
47957,218515,Entire home/apt,Salamanca,Goya,34,5.0,3,2.0,117.0,7,40.427611,-3.676045,2014-08-29 22:48:27.567
54790,165406,Entire home/apt,Centro,Embajadores,80,4.0,4,2.0,66.0,2,40.411907,-3.702294,2014-08-29 20:47:13.087
54799,165406,Entire home/apt,Centro,Embajadores,65,4.5,7,2.0,96.0,2,40.413438,-3.706779,2014-08-29 20:57:44.103
55083,165406,Entire home/apt,Centro,Universidad,44,4.0,4,1.0,96.0,2,40.422827,-3.70267,2014-08-29 21:45:05.930
57660,82175,Entire home/apt,Moncloa,Argüelles,1,5.0,5,1.0,96.0,1,40.429381,-3.719794,2014-08-29 22:11:57.575
59923,288380,Private room,Centro,Palacio,2,5.0,1,1.0,52.0,1,40.419711,-3.712556,2014-08-29 21:03:05.185
62423,303845,Entire home/apt,Centro,Justicia,0,,2,1.0,125.0,4,40.4208,-3.698775,2014-08-30 01:03:53.672
69496,348404,Entire home/apt,Centro,Embajadores,42,4.5,4,2.0,81.0,3,40.411354,-3.705743,2014-08-29 23:23:54.443
70059,353616,Entire home/apt,Centro,Universidad,10,4.5,2,1.0,91.0,4,40.423645,-3.708894,2014-08-30 00:16:46.579
70073,353738,Entire home/apt,Centro,Universidad,4,4.0,4,1.0,108.0,3,40.42325,-3.702107,2014-08-30 00:32:33.674
70310,353738,Entire home/apt,Centro,Universidad,3,4.5,4,1.0,81.0,3,40.423214,-3.701428,2014-08-30 00:10:50.848
70311,353738,Entire home/apt,Centro,Universidad,4,3.5,4,1.0,96.0,3,40.420822,-3.703725,2014-08-30 00:11:28.443
70312,353738,Entire home/apt,Centro,Universidad,12,4.0,4,1.0,81.0,3,40.421127,-3.703337,2014-08-30 00:12:49.572
70313,353738,Entire home/apt,Centro,Universidad,9,5.0,4,1.0,72.0,3,40.420901,-3.703685,2014-08-30 00:14:09.008
70314,353738,Entire home/apt,Centro,Universidad,3,4.5,5,1.0,88.0,3,40.42134,-3.703699,2014-08-30 00:15:36.963
70315,353738,Entire home/apt,Centro,Palacio,1,4.0,4,2.0,96.0,3,40.421377,-3.711006,2014-08-30 00:16:50.554
70316,353738,Entire home/apt,Centro,Palacio,0,,6,1.0,83.0,3,40.421107,-3.710104,2014-08-30 00:18:24.673
70364,165406,Entire home/apt,Centro,Cortes,68,4.5,4,2.0,100.0,2,40.411749,-3.697079,2014-08-30 01:08:37.069
71791,368907,Entire home/apt,Chamberi,Arapiles,0,,6,3.0,196.0,3,40.433592,-3.706873,2014-08-29 23:15:17.399
72150,364585,Entire home/apt,Centro,Embajadores,8,4.5,9,3.0,111.0,2,40.411192,-3.704699,2014-08-30 01:02:13.108
72402,165406,Entire home/apt,Chamberi,Rios Rosas,47,4.5,4,2.0,96.0,2,40.441392,-3.699939,2014-08-30 00:57:54.581
72697,113286,Entire home/apt,Arganzuela,Imperial,1,4.5,2,1.0,106.0,2,40.407179,-3.713796,2014-08-30 01:41:21.646
72761,378073,Entire home/apt,Centro,Cortes,3,5.0,4,1.0,133.0,3,40.413299,-3.697981,2014-08-29 22:04:49.350
72937,378073,Entire home/apt,Centro,Sol,0,,4,1.0,147.0,3,40.415066,-3.703358,2014-08-30 01:22:59.266
72950,378073,Entire home/apt,Centro,Sol,2,3.5,4,1.0,140.0,3,40.416374,-3.703055,2014-08-30 01:37:42.443
72955,378073,Entire home/apt,Centro,Cortes,0,,4,1.0,133.0,3,40.411387,-3.694085,2014-08-30 01:43:41.040
