room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
654179,3290704,Entire home/apt,Centro,Embajadores,48,4.5,4,2.0,81.0,3.0,40.40885,-3.703811,2015-02-21 02:40:57.349
655514,3226403,Private room,Ciudad Lineal,Pueblo Nuevo,0,,2,1.0,44.0,1.0,40.424743,-3.640479,2015-02-21 03:43:10.453
655711,3301397,Private room,Arganzuela,Acacias,2,3.5,2,1.0,37.0,5.0,40.402578,-3.70087,2015-02-21 02:34:35.428
656520,1375487,Entire home/apt,Centro,Embajadores,11,5.0,2,1.0,88.0,5.0,40.408628,-3.704201,2015-02-21 03:23:53.948
656605,3307484,Private room,Centro,Justicia,5,5.0,1,1.0,23.0,1.0,40.424581,-3.699201,2015-02-21 05:00:07.185
657404,1714541,Private room,Retiro,Pacífico,2,5.0,1,1.0,28.0,3.0,40.405549,-3.673833,2015-02-21 05:39:00.208
661255,3338284,Private room,Centro,Embajadores,17,4.5,2,1.0,62.0,1.0,40.41146,-3.707002,2015-02-21 00:50:44.174
661565,2435586,Entire home/apt,Centro,Universidad,71,4.0,4,1.0,66.0,3.0,40.422219,-3.701002,2015-02-21 01:54:08.336
661688,845399,Private room,Centro,Universidad,29,4.5,7,1.0,32.0,1.0,40.422739,-3.702981,2015-02-21 04:16:59.745
662665,3346889,Private room,Ciudad Lineal,Concepción,6,5.0,1,1.0,37.0,1.0,40.437558,-3.652159,2015-02-21 03:25:15.150
664066,1424863,Entire home/apt,Centro,Palacio,32,4.5,2,1.0,79.0,2.0,40.418236,-3.711025,2015-02-21 00:44:14.998
665546,3261433,Private room,Centro,Sol,24,4.5,2,1.0,80.0,1.0,40.417377,-3.701365,2015-02-21 04:38:24.383
666222,1345386,Entire home/apt,Centro,Palacio,63,5.0,4,1.0,95.0,3.0,40.41974,-3.709047,2015-02-21 02:54:40.606
668479,3383982,Private room,Centro,Embajadores,19,5.0,1,1.0,44.0,5.0,40.409533,-3.700665,2015-02-21 01:56:32.301
668753,3385307,Private room,Chamberi,Trafalgar,28,5.0,1,1.0,73.0,2.0,40.431431,-3.702155,2015-02-21 02:17:26.181
670496,3340405,Private room,Carabanchel,Buenavista,0,,1,1.0,81.0,3.0,40.365744,-3.759933,2015-02-21 01:21:08.163
