room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10914818,10940437,Shared room,Centro,Sol,3,3.5,6,1.0,72.0,,40.414639,-3.707379,2017-03-12 21:39:58.887658
2143961,10940437,Shared room,Centro,Sol,39,4.5,6,1.0,47.0,,40.415161,-3.707928,2017-03-12 21:39:29.191731
1512437,1718458,Shared room,Chamberi,Trafalgar,6,4.0,9,1.0,49.0,,40.430073,-3.703354,2017-03-12 21:39:28.526794
16656191,97914995,Shared room,Centro,Palacio,0,0.0,12,1.0,42.0,,40.415412,-3.711277,2017-03-12 21:39:28.303291
4599821,23622848,Shared room,Centro,Justicia,10,4.0,4,1.0,43.0,,40.428224,-3.699263,2017-03-12 21:39:25.698105
15431978,67622677,Shared room,Hortaleza,Canillas,2,0.0,3,1.0,59.0,,40.462516,-3.650677,2017-03-12 21:39:25.029886
11946007,63784494,Shared room,Centro,Palacio,7,5.0,3,1.0,49.0,,40.413614,-3.713262,2017-03-12 21:39:24.922621
4265459,3591751,Shared room,Arganzuela,Acacias,31,4.5,2,1.0,36.0,,40.403934,-3.703544,2017-03-12 21:39:19.700477
9658216,3908623,Shared room,Puente de Vallecas,San Diego,3,4.5,2,1.0,31.0,,40.391607,-3.669146,2017-03-12 21:39:18.606933
15516955,78169966,Shared room,Centro,Cortes,9,4.0,2,1.0,28.0,,40.411371,-3.696087,2017-03-12 21:39:18.257073
17133646,115170407,Shared room,Hortaleza,Pinar del Rey,0,0.0,2,1.0,38.0,,40.473322,-3.655683,2017-03-12 21:39:16.309093
16645708,97914995,Shared room,Centro,Palacio,2,0.0,16,1.0,36.0,,40.415581,-3.711708,2017-03-12 21:39:15.107886
13180380,9023441,Shared room,Villaverde,Los Rosales,7,4.5,5,1.0,33.0,,40.350266,-3.686037,2017-03-12 21:39:14.782521
6354379,33103428,Shared room,Tetuan,Castillejos,17,4.0,2,1.0,31.0,,40.463302,-3.693827,2017-03-12 21:39:12.877852
15475748,50529819,Shared room,Carabanchel,Abrantes,5,3.5,3,1.0,31.0,,40.380594,-3.731574,2017-03-12 21:39:12.541921
16934431,107875484,Shared room,Centro,Universidad,2,0.0,2,1.0,33.0,,40.422745,-3.702397,2017-03-12 21:39:11.862286
11208701,44861669,Shared room,Villaverde,Los Rosales,20,4.0,2,1.0,25.0,,40.353599,-3.688546,2017-03-12 21:39:11.754744
17554492,117002004,Shared room,Centro,Embajadores,0,0.0,1,1.0,330.0,,40.409632,-3.700304,2017-03-12 21:39:09.394104
11980779,64026664,Shared room,Centro,Palacio,0,0.0,1,1.0,219.0,,40.412624,-3.711822,2017-03-12 21:39:07.474269
6905132,7122460,Shared room,Salamanca,Lista,1,0.0,6,1.0,219.0,,40.429929,-3.677175,2017-03-12 21:39:07.351861
15394619,90304960,Shared room,Centro,Sol,0,0.0,6,1.0,198.0,,40.416908,-3.707356,2017-03-12 21:39:05.950870
9761470,49486916,Shared room,Centro,Justicia,2,0.0,6,1.0,137.0,,40.425036,-3.700547,2017-03-12 21:39:02.919460
15557126,12191375,Shared room,Moncloa,Casa de Campo,0,0.0,1,1.0,134.0,,40.429944,-3.732541,2017-03-12 21:39:02.813056
17639046,9684809,Shared room,Arganzuela,Acacias,0,0.0,2,1.0,110.0,,40.401444,-3.702211,2017-03-12 21:39:01.045137
15701064,101337575,Shared room,Moncloa,Argüelles,0,0.0,5,1.0,88.0,,40.426144,-3.714758,2017-03-12 21:38:59.282992
6688832,6363695,Shared room,Centro,Universidad,1,0.0,4,1.0,88.0,,40.425879,-3.712592,2017-03-12 21:38:59.155968
14319439,84213235,Shared room,Carabanchel,Vista Alegre,2,0.0,8,1.0,98.0,,40.388822,-3.738774,2017-03-12 21:38:59.050834
16446427,35224923,Shared room,Centro,Universidad,0,0.0,4,1.0,82.0,,40.428168,-3.713397,2017-03-12 21:38:57.420139
9711735,50138715,Shared room,Chamberi,Trafalgar,0,0.0,2,1.0,77.0,,40.437523,-3.703881,2017-03-12 21:38:57.306911
15897965,26949088,Shared room,Centro,Justicia,1,0.0,2,1.0,77.0,,40.427347,-3.699142,2017-03-12 21:38:57.201163
15701022,101337575,Shared room,Moncloa,Casa de Campo,0,0.0,2,1.0,66.0,,40.423879,-3.715556,2017-03-12 21:38:56.986396
15896853,26949088,Shared room,Centro,Justicia,2,0.0,2,1.0,71.0,,40.427185,-3.697629,2017-03-12 21:38:56.878304
15882449,26949088,Shared room,Centro,Justicia,0,0.0,2,1.0,77.0,,40.426597,-3.699502,2017-03-12 21:38:56.774340
7050930,8699362,Shared room,Centro,Justicia,25,4.5,2,1.0,44.0,,40.423439,-3.698022,2017-03-12 21:38:54.882732
3449770,17387554,Shared room,Fuencarral,La Paz,3,4.0,2,1.0,49.0,,40.476598,-3.702149,2017-03-12 21:38:54.776844
